Name;ISHARES ATX (DE);ISHARES ATX (DE) - PRICE INDEX;ISHARES ATX (DE) - TOT RETURN IND;LYXOR ATX (DR) UCITS ETF;LYXOR ATX (DR) UCITS ETF - PRICE INDEX;LYXOR ATX (DR) UCITS ETF - TOT RETURN IND;XTRACKERS ATX UCITS ETF 1C;XTRACKERS ATX UCITS ETF 1C - PRICE INDEX;XTRACKERS ATX UCITS ETF 1C - TOT RETURN IND
01.02.2021;30.9;82.4;107.1;34.1;202.2;220.1;49.7;172.9;172.8
02.02.2021;31.3;83.4;108.3;34.5;204.8;223.0;50.4;175.2;175.2
03.02.2021;31.4;83.7;108.6;34.6;205.3;223.6;50.5;175.5;175.5
04.02.2021;31.6;84.3;109.4;34.8;206.8;225.2;50.8;176.8;176.8
05.02.2021;31.8;84.7;110.0;35.1;208.1;226.5;51.1;177.8;177.8
